file_name,parent_file_train,number_of_segments_train,number_of_voices_parent_train,extra_sounds_train,parent_label_train,segment_label_train,noisy_train,Notes_train
03mglec8fez51_processed_22,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_23,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_24,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_25,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_3,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_4,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_5,03mglec8fez51,26,1,calm music,1,1,0,
03mglec8fez51_processed_6,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_7,03mglec8fez51,26,1,calm music,1,0,0,
03mglec8fez51_processed_8,03mglec8fez51,26,0,calm music,1,0,0,
03mglec8fez51_processed_9,03mglec8fez51,26,1,calm music,1,1,0,
0653ipqy7vd71_processed_0,0653ipqy7vd71,7,2,,2,0,0,
0653ipqy7vd71_processed_1,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_2,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_3,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_4,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_5,0653ipqy7vd71,7,1,,2,2,0,
0653ipqy7vd71_processed_6,0653ipqy7vd71,7,1,,2,2,0,
065hfyuu0ya61_processed_0,065hfyuu0ya61,3,3,guitar,0,0,0,
065hfyuu0ya61_processed_1,065hfyuu0ya61,3,2,guitar,0,0,0,
065hfyuu0ya61_processed_2,065hfyuu0ya61,3,3,guitar,0,0,0,
08ss0a3zs0061_processed_0,08ss0a3zs0061,2,1,car crash,2,2,0,
095x9borh0z61_processed_0,095x9borh0z61,19,3,,2,0,0,
095x9borh0z61_processed_1,095x9borh0z61,19,4,,2,0,0,
095x9borh0z61_processed_10,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_11,095x9borh0z61,19,2,,2,1,0,
095x9borh0z61_processed_17,095x9borh0z61,19,2,,2,1,0,
095x9borh0z61_processed_18,095x9borh0z61,19,2,,2,2,0,
095x9borh0z61_processed_2,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_3,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_4,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_5,095x9borh0z61,19,2,children playing,2,0,0,
095x9borh0z61_processed_6,095x9borh0z61,19,2,,2,1,0,
095x9borh0z61_processed_7,095x9borh0z61,19,2,,2,0,0,
095x9borh0z61_processed_8,095x9borh0z61,19,1,,2,0,0,
095x9borh0z61_processed_9,095x9borh0z61,19,2,,2,0,0,
09etqbnf0uc61_processed_0,09etqbnf0uc61,3,2,,0,0,0,
09etqbnf0uc61_processed_1,09etqbnf0uc61,3,2,,0,0,0,
09etqbnf0uc61_processed_2,09etqbnf0uc61,3,9999,,0,0,1,
0ailv3uq2lw61_processed_0,0ailv3uq2lw61,4,2,Gunshots,1,1,0,Too noisy to understand anything
0ailv3uq2lw61_processed_1,0ailv3uq2lw61,4,1,"Gunshots, engine, shouting",1,1,0,Too noisy to understand anything
0ailv3uq2lw61_processed_2,0ailv3uq2lw61,4,3,engine,1,1,0,Too noisy to understand anything
0ailv3uq2lw61_processed_3,0ailv3uq2lw61,4,3,engine,1,1,0,Too noisy to understand anything
0c7qgddd16l51_processed_0,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_1,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_10,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_11,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_12,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_13,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_14,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_15,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_16,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_17,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_18,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_2,0c7qgddd16l51,19,3,laughing,0,0,0,
0c7qgddd16l51_processed_3,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_4,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_5,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_6,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_7,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_8,0c7qgddd16l51,19,4,laughing,0,0,0,
0c7qgddd16l51_processed_9,0c7qgddd16l51,19,3,laughing,0,0,0,
0cho11mt05y51_processed_0,0cho11mt05y51,2,9999,music,0,0,1,
0cho11mt05y51_processed_1,0cho11mt05y51,2,9999,music,0,0,1,
0cmcfw7ucae71_processed_0,0cmcfw7ucae71,3,1,Donkey noise,0,0,0,
0cmcfw7ucae71_processed_1,0cmcfw7ucae71,3,1,Donkey noise,0,0,0,
0cmcfw7ucae71_processed_2,0cmcfw7ucae71,3,1,Donkey noise,0,0,0,
0d9lcxq7sxf61_processed_0,0d9lcxq7sxf61,3,4,"motorbike, music",0,0,0,
0d9lcxq7sxf61_processed_1,0d9lcxq7sxf61,3,9999,"music, people shouting",0,0,1,
0d9lcxq7sxf61_processed_2,0d9lcxq7sxf61,3,9999,"music, people shouting",0,0,1,
0f520cf07s571_processed_0,0f520cf07s571,2,3,"Water splashing, gasp",1,1,0,
0f520cf07s571_processed_1,0f520cf07s571,2,2,water body,1,0,0,
0f8jowocy1j51_processed_0,0f8jowocy1j51,6,3,,2,2,0,
0f8jowocy1j51_processed_1,0f8jowocy1j51,6,2,,2,2,0,
0f8jowocy1j51_processed_2,0f8jowocy1j51,6,2,,2,2,0,
0f8jowocy1j51_processed_3,0f8jowocy1j51,6,3,,2,2,0,
0f8jowocy1j51_processed_4,0f8jowocy1j51,6,3,,2,2,0,
0fi5aogp5bg51_processed_0,0fi5aogp5bg51,5,3,siren,2,1,0,
0fi5aogp5bg51_processed_1,0fi5aogp5bg51,5,3,siren,2,1,0,
0fi5aogp5bg51_processed_2,0fi5aogp5bg51,5,2,"siren, metal thumping",2,1,0,
0fkhnhiw6ii61_processed_0,0fkhnhiw6ii61,5,1,clapping,2,1,0,
0fkhnhiw6ii61_processed_1,0fkhnhiw6ii61,5,1,"clapping, people shouting",2,1,0,
0fkhnhiw6ii61_processed_2,0fkhnhiw6ii61,5,1,,2,1,0,
0fkhnhiw6ii61_processed_3,0fkhnhiw6ii61,5,1,,2,2,0,
0h3jkge4hj761_processed_1,0h3jkge4hj761,28,1,crowd ,1,0,0,
0h3jkge4hj761_processed_10,0h3jkge4hj761,28,1,person laughing,1,0,0,
0h3jkge4hj761_processed_11,0h3jkge4hj761,28,1,crowd,1,0,0,
0h3jkge4hj761_processed_12,0h3jkge4hj761,28,2,crowd shouting,1,1,0,
0h3jkge4hj761_processed_13,0h3jkge4hj761,28,2,"crowd cheering, clapping",1,0,0,
0h3jkge4hj761_processed_14,0h3jkge4hj761,28,1,crowd,1,0,0,
0h3jkge4hj761_processed_15,0h3jkge4hj761,28,1,crowd ,1,0,0,
0h3jkge4hj761_processed_16,0h3jkge4hj761,28,2,crowd cheering,1,0,0,
0h3jkge4hj761_processed_17,0h3jkge4hj761,28,2,crowd cheering,1,0,0,
0h3jkge4hj761_processed_18,0h3jkge4hj761,28,1,crowd ,1,0,0,
0h3jkge4hj761_processed_19,0h3jkge4hj761,28,1,crowd cheering,1,0,0,
0h3jkge4hj761_processed_2,0h3jkge4hj761,28,1,"beep sound, crowd ",1,0,0,
0h3jkge4hj761_processed_20,0h3jkge4hj761,28,1,crowd ,1,0,0,
0h3jkge4hj761_processed_21,0h3jkge4hj761,28,1,crowd ,1,0,0,
0h3jkge4hj761_processed_22,0h3jkge4hj761,28,1,crowd ,1,0,0,
0h3jkge4hj761_processed_23,0h3jkge4hj761,28,9999,"crowd, music ",1,0,1,
0h3jkge4hj761_processed_24,0h3jkge4hj761,28,9999,"crowd, music ",1,0,1,
0h3jkge4hj761_processed_25,0h3jkge4hj761,28,1,crowd,1,0,0,
0h3jkge4hj761_processed_26,0h3jkge4hj761,28,1,crowd,1,0,0,
0h3jkge4hj761_processed_27,0h3jkge4hj761,28,1,crowd,1,0,0,
0h3jkge4hj761_processed_3,0h3jkge4hj761,28,1,"beep sound, crowd ",1,0,0,
0h3jkge4hj761_processed_4,0h3jkge4hj761,28,1,crowd,1,0,0,
0h3jkge4hj761_processed_5,0h3jkge4hj761,28,9999,clapping music ,1,0,1,
0h3jkge4hj761_processed_6,0h3jkge4hj761,28,9999,crowd,1,0,1,
0h3jkge4hj761_processed_7,0h3jkge4hj761,28,1,crowd cheering,1,0,0,
0h3jkge4hj761_processed_8,0h3jkge4hj761,28,2,music,1,0,0,
0h3jkge4hj761_processed_9,0h3jkge4hj761,28,1,crowd,1,0,0,
0hvd1wmkahp61_processed_0,0hvd1wmkahp61,5,1,,0,0,0,
0hvd1wmkahp61_processed_1,0hvd1wmkahp61,5,1,,0,0,0,
0hvd1wmkahp61_processed_2,0hvd1wmkahp61,5,1,,0,0,0,
0hvd1wmkahp61_processed_3,0hvd1wmkahp61,5,1,,0,0,0,
0ldl8z0w7kv51_processed_0,0ldl8z0w7kv51,6,2,"honks, crowd cheering, fireworks",3,3,0,
0ldl8z0w7kv51_processed_1,0ldl8z0w7kv51,6,2,"honks, crowd cheering, fireworks, music",3,2,0,
0ldl8z0w7kv51_processed_4,0ldl8z0w7kv51,6,9999,"honks, crowd cheering, fireworks, music",3,2,1,
0lkuzk8aqp371_processed_0,0lkuzk8aqp371,14,3,crowd,1,0,0,
0lkuzk8aqp371_processed_1,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_10,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_11,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_12,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_13,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_2,0lkuzk8aqp371,14,3,crowd,1,1,0,
0lkuzk8aqp371_processed_3,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_4,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_5,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_6,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_7,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_8,0lkuzk8aqp371,14,2,crowd,1,1,0,
0lkuzk8aqp371_processed_9,0lkuzk8aqp371,14,3,crowd,1,1,0,
0lw3uak945u61_processed_0,0lw3uak945u61,14,2,car noise,0,0,0,
0lw3uak945u61_processed_1,0lw3uak945u61,14,2,"car noise, person weeping",0,0,0,
0lw3uak945u61_processed_10,0lw3uak945u61,14,3,"Dog barking, children laughing",0,0,0,
0lw3uak945u61_processed_11,0lw3uak945u61,14,3,"Dog barking, children laughing, car engine",0,0,0,
0lw3uak945u61_processed_12,0lw3uak945u61,14,3,"Dog barking, children laughing, car engine",0,0,0,
0lw3uak945u61_processed_13,0lw3uak945u61,14,2,"Dog barking, children laughing, car engine",0,0,0,
0lw3uak945u61_processed_2,0lw3uak945u61,14,2,"car noise, person weeping, dog",0,0,0,
0lw3uak945u61_processed_3,0lw3uak945u61,14,3,Dog barking,0,0,0,
0lw3uak945u61_processed_4,0lw3uak945u61,14,2,,0,0,0,
0lw3uak945u61_processed_5,0lw3uak945u61,14,2,"Dog barking, children laughing",0,0,0,
0lw3uak945u61_processed_6,0lw3uak945u61,14,1,"Dog barking, children laughing",0,0,0,
0lw3uak945u61_processed_7,0lw3uak945u61,14,2,"Dog barking, children laughing",0,0,0,
0lw3uak945u61_processed_8,0lw3uak945u61,14,2,"Dog barking, children laughing",0,0,0,
0lw3uak945u61_processed_9,0lw3uak945u61,14,3,"Dog barking, children laughing",0,0,0,
0p2cktb33qm61_processed_0,0p2cktb33qm61,6,0,Loud Thumping noises,0,0,0,
0p2cktb33qm61_processed_1,0p2cktb33qm61,6,0,Loud Thumping noises,0,0,0,
0p2cktb33qm61_processed_2,0p2cktb33qm61,6,1,"Loud Thumping noises, people whisting and cheering",0,0,0,
0p2cktb33qm61_processed_3,0p2cktb33qm61,6,2,"Loud Thumping noises, people whisting and cheering",0,0,0,
0p2cktb33qm61_processed_4,0p2cktb33qm61,6,2,"Loud Thumping noises, people cheering",0,0,0,
0p2cktb33qm61_processed_5,0p2cktb33qm61,6,2,"Loud Thumping noises, people whistling cheering",0,0,0,
0s1wt1zhkkh51_processed_0,0s1wt1zhkkh51,2,9999,Alarm noise,0,0,1,
0s1wt1zhkkh51_processed_1,0s1wt1zhkkh51,2,9999,Alarm noise,0,0,1,
0s3rodrbpfu61_processed_0,0s3rodrbpfu61,6,3,,2,0,0,
0s3rodrbpfu61_processed_1,0s3rodrbpfu61,6,3,,2,2,0,
0s3rodrbpfu61_processed_2,0s3rodrbpfu61,6,4,,2,2,0,
0s3rodrbpfu61_processed_3,0s3rodrbpfu61,6,4,,2,2,0,
0thgy8s2ovg51_processed_0,0thgy8s2ovg51,2,2,Plate cracking,1,1,0,
0ui2hon0i9z51_processed_0,0ui2hon0i9z51,6,0,,2,0,0,
0ui2hon0i9z51_processed_1,0ui2hon0i9z51,6,0,"N/A, honk",2,0,0,
0ui2hon0i9z51_processed_2,0ui2hon0i9z51,6,0,,2,0,0,
0ui2hon0i9z51_processed_3,0ui2hon0i9z51,6,2,"N/A, dog barking",2,2,0,
0ui2hon0i9z51_processed_4,0ui2hon0i9z51,6,1,"N/A, dog barking",2,1,0,
0ui2hon0i9z51_processed_5,0ui2hon0i9z51,6,0,,2,0,0,
0xtsru74ihq61_processed_0,0xtsru74ihq61,5,0,,0,0,0,
0xtsru74ihq61_processed_1,0xtsru74ihq61,5,0,,0,0,0,Audio unusable
0xtsru74ihq61_processed_2,0xtsru74ihq61,5,0,,0,0,0,Audio unusable
0xtsru74ihq61_processed_3,0xtsru74ihq61,5,0,,0,0,0,Audio unusable
0y9831he72u61_processed_0,0y9831he72u61,7,4,intense music,3,3,0,
0y9831he72u61_processed_1,0y9831he72u61,7,4,intense music,3,3,0,
0y9831he72u61_processed_2,0y9831he72u61,7,4,intense music,3,3,0,
0y9831he72u61_processed_4,0y9831he72u61,7,4,intense music,3,3,0,
0ziwjvz4lqf71_processed_0,0ziwjvz4lqf71,3,1,,0,0,0,
0ziwjvz4lqf71_processed_1,0ziwjvz4lqf71,3,1,,0,0,0,
0ziwjvz4lqf71_processed_2,0ziwjvz4lqf71,3,1,,0,0,0,
1067bauoiy661_processed_0,1067bauoiy661,6,2,,2,2,0,
1067bauoiy661_processed_1,1067bauoiy661,6,2,,2,2,0,
1067bauoiy661_processed_3,1067bauoiy661,6,3,,2,2,0,
1067bauoiy661_processed_4,1067bauoiy661,6,3,,2,2,0,
10hlpt9o0wd61_processed_0,10hlpt9o0wd61,14,2,,0,0,0,
10hlpt9o0wd61_processed_1,10hlpt9o0wd61,14,2,,0,0,0,
10hlpt9o0wd61_processed_10,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_11,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_12,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_13,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_2,10hlpt9o0wd61,14,2,,0,0,0,
10hlpt9o0wd61_processed_3,10hlpt9o0wd61,14,2,,0,0,0,
10hlpt9o0wd61_processed_4,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_5,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_6,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_7,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_8,10hlpt9o0wd61,14,1,,0,0,0,
10hlpt9o0wd61_processed_9,10hlpt9o0wd61,14,1,,0,0,0,
11fnzs4vvcq51_processed_0,11fnzs4vvcq51,3,2,Music,0,0,0,
11fnzs4vvcq51_processed_1,11fnzs4vvcq51,3,2,,0,0,0,
11fnzs4vvcq51_processed_2,11fnzs4vvcq51,3,2,,0,0,0,
11pnt0c205g61_processed_0,11pnt0c205g61,6,1,,2,2,0,
11pnt0c205g61_processed_1,11pnt0c205g61,6,1,,2,2,0,
11pnt0c205g61_processed_2,11pnt0c205g61,6,1,,2,2,0,
11pnt0c205g61_processed_3,11pnt0c205g61,6,1,,2,2,0,
11pnt0c205g61_processed_4,11pnt0c205g61,6,1,,2,2,0,
11pnt0c205g61_processed_5,11pnt0c205g61,6,1,,2,2,0,
11xpj2du98d71_processed_0,11xpj2du98d71,2,2,Traffic,0,0,0,
11xpj2du98d71_processed_1,11xpj2du98d71,2,2,Traffic,0,0,0,
121vblm56ym61_processed_0,121vblm56ym61,4,3,thumping ,0,0,0,
121vblm56ym61_processed_1,121vblm56ym61,4,3,people cheering,0,0,0,
121vblm56ym61_processed_2,121vblm56ym61,4,3,people cheering,0,0,0,
121vblm56ym61_processed_3,121vblm56ym61,4,3,people cheering,0,0,0,
140f26okazh51_processed_0,140f26okazh51,2,1,metal music,0,0,0,
143mdsnmvu461_processed_0,143mdsnmvu461,11,1,crowd,3,0,0,
143mdsnmvu461_processed_1,143mdsnmvu461,11,9999,crowd,3,2,1,
143mdsnmvu461_processed_10,143mdsnmvu461,11,9999,crowd,3,3,1,
143mdsnmvu461_processed_2,143mdsnmvu461,11,9999,crowd,3,2,1,
143mdsnmvu461_processed_3,143mdsnmvu461,11,9999,crowd,3,2,1,
143mdsnmvu461_processed_4,143mdsnmvu461,11,9999,crowd,3,2,1,
143mdsnmvu461_processed_5,143mdsnmvu461,11,9999,crowd,3,2,1,
143mdsnmvu461_processed_6,143mdsnmvu461,11,9999,crowd,3,2,1,
143mdsnmvu461_processed_7,143mdsnmvu461,11,9999,crowd,3,3,1,
143mdsnmvu461_processed_8,143mdsnmvu461,11,9999,crowd,3,3,1,
143mdsnmvu461_processed_9,143mdsnmvu461,11,9999,crowd,3,3,1,
154n8n5g97i51_processed_0,154n8n5g97i51,2,1,,0,0,0,
15j1ap1ep9j51_processed_0,15j1ap1ep9j51,10,2,music,0,0,0,
15j1ap1ep9j51_processed_1,15j1ap1ep9j51,10,1,music,0,0,0,
15j1ap1ep9j51_processed_2,15j1ap1ep9j51,10,1,music,0,0,0,
15j1ap1ep9j51_processed_3,15j1ap1ep9j51,10,0,"music, clapping",0,0,0,
15j1ap1ep9j51_processed_4,15j1ap1ep9j51,10,0,music,0,0,0,
15j1ap1ep9j51_processed_5,15j1ap1ep9j51,10,0,music,0,0,0,
15j1ap1ep9j51_processed_6,15j1ap1ep9j51,10,0,music,0,0,0,
15j1ap1ep9j51_processed_7,15j1ap1ep9j51,10,0,music,0,0,0,
15j1ap1ep9j51_processed_8,15j1ap1ep9j51,10,0,music,0,0,0,
15j1ap1ep9j51_processed_9,15j1ap1ep9j51,10,0,music,0,0,0,
16dnw24q0jo51_processed_0,16dnw24q0jo51,4,9999,music,0,0,1,
16dnw24q0jo51_processed_1,16dnw24q0jo51,4,9999,music,0,0,1,
16dnw24q0jo51_processed_2,16dnw24q0jo51,4,9999,music,0,0,1,
16dnw24q0jo51_processed_3,16dnw24q0jo51,4,9999,music,0,0,1,
17hzkgqtssb61_processed_0,17hzkgqtssb61,12,2,Traffic,1,0,0,
17hzkgqtssb61_processed_1,17hzkgqtssb61,12,2,Traffic,1,0,0,
17hzkgqtssb61_processed_10,17hzkgqtssb61,12,2,Traffic,1,1,0,
17hzkgqtssb61_processed_11,17hzkgqtssb61,12,2,Traffic,1,1,0,
17hzkgqtssb61_processed_2,17hzkgqtssb61,12,2,Traffic,1,0,0,
17hzkgqtssb61_processed_3,17hzkgqtssb61,12,2,Traffic,1,0,0,
17hzkgqtssb61_processed_4,17hzkgqtssb61,12,2,Traffic,1,0,0,
17hzkgqtssb61_processed_5,17hzkgqtssb61,12,2,Traffic,1,1,0,
17hzkgqtssb61_processed_6,17hzkgqtssb61,12,2,Traffic,1,1,0,
17hzkgqtssb61_processed_7,17hzkgqtssb61,12,2,Traffic,1,1,0,
17hzkgqtssb61_processed_8,17hzkgqtssb61,12,2,Traffic,1,1,0,
17hzkgqtssb61_processed_9,17hzkgqtssb61,12,2,Traffic,1,1,0,
1859n94d2aw51_processed_0,1859n94d2aw51,2,3,kids,1,1,0,
1859n94d2aw51_processed_1,1859n94d2aw51,2,1,kids,1,0,0,
1a8lksziefs61_processed_0,1a8lksziefs61,18,3,,1,1,0,
1a8lksziefs61_processed_1,1a8lksziefs61,18,3,,1,1,0,
1a8lksziefs61_processed_10,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_11,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_12,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_13,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_14,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_15,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_16,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_17,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_2,1a8lksziefs61,18,3,,1,1,0,
1a8lksziefs61_processed_3,1a8lksziefs61,18,3,Pig noise,1,1,0,
1a8lksziefs61_processed_4,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_5,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_6,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_7,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_8,1a8lksziefs61,18,3,pig noise,1,1,0,
1a8lksziefs61_processed_9,1a8lksziefs61,18,3,pig noise,1,1,0,
1b229datdzf61_processed_0,1b229datdzf61,10,1,,0,0,0,
1b229datdzf61_processed_1,1b229datdzf61,10,1,Chains,0,0,0,
1b229datdzf61_processed_2,1b229datdzf61,10,2,Chains,0,0,0,
1b229datdzf61_processed_3,1b229datdzf61,10,3,,0,0,0,
1b229datdzf61_processed_4,1b229datdzf61,10,3,,0,0,0,
1b229datdzf61_processed_5,1b229datdzf61,10,3,,0,0,0,
1b229datdzf61_processed_6,1b229datdzf61,10,2,,0,0,0,
1b229datdzf61_processed_7,1b229datdzf61,10,2,,0,0,0,
1b229datdzf61_processed_8,1b229datdzf61,10,2,,0,0,0,
1b229datdzf61_processed_9,1b229datdzf61,10,1,,0,0,0,
1bt81rmsfl771_processed_1,1bt81rmsfl771,8,3,,3,3,0,
1bt81rmsfl771_processed_3,1bt81rmsfl771,8,3,tazer,3,2,0,
1bt81rmsfl771_processed_4,1bt81rmsfl771,8,3,,3,1,0,
1bt81rmsfl771_processed_5,1bt81rmsfl771,8,4,,3,1,0,
1bt81rmsfl771_processed_6,1bt81rmsfl771,8,2,,3,2,0,
1bt81rmsfl771_processed_7,1bt81rmsfl771,8,2,,3,1,0,
1bt8ztm58ew51_processed_0,1bt8ztm58ew51,3,1,,2,2,0,
1bt8ztm58ew51_processed_1,1bt8ztm58ew51,3,1,,2,2,0,
1bt8ztm58ew51_processed_2,1bt8ztm58ew51,3,1,,2,2,0,
1e0zpjat2wc71_processed_0,1e0zpjat2wc71,2,2,,1,1,0,
1e0zpjat2wc71_processed_1,1e0zpjat2wc71,2,2,,1,1,0,
1fhp1vuk9h461_processed_0,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_1,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_2,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_3,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_4,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_5,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_6,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_7,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_8,1fhp1vuk9h461,10,9999,music,0,0,1,
1fhp1vuk9h461_processed_9,1fhp1vuk9h461,10,9999,music,0,0,1,
1gllz957axi51_processed_0,1gllz957axi51,18,2,,1,1,0,
1gllz957axi51_processed_1,1gllz957axi51,18,3,,1,1,0,
1gllz957axi51_processed_10,1gllz957axi51,18,3,,1,1,0,
1gllz957axi51_processed_11,1gllz957axi51,18,3,,1,1,0,
1gllz957axi51_processed_12,1gllz957axi51,18,3,,1,1,0,
1gllz957axi51_processed_13,1gllz957axi51,18,3,,1,1,0,
